Year,GeoType,Borough,GeoID,BCT2020,Name,CDType,NTAType,Pop1,Male ,Fem,LandAcres
2020,NTA2020,Bronx,BX0991,,Soundview Park,,9,6,3,3,170.86
2020,NTA2020,Bronx,BX1001,,Westchester Square,,0,17376,8379,8997,359.78
2020,NTA2020,Bronx,BX1002,,Throgs Neck-Schuylerville,,0,48116,23097,25019,1522.83
2020,NTA2020,Bronx,BX1003,,Pelham Bay-Country Club-City Island,,0,29462,13954,15508,781.9
2020,NTA2020,Bronx,BX1004,,Co-op City,,0,37369,15707,21662,604.72
2020,NTA2020,Bronx,BX1071,,Hart Island,,7,0,0,0,116.01
2020,NTA2020,Bronx,BX1091,,Ferry Point Park-St. Raymond Cemetery,,9,0,0,0,511.3
2020,NTA2020,Bronx,BX1101,,Pelham Parkway-Van Nest,,0,32425,15531,16894,357.88
2020,NTA2020,Bronx,BX1102,,Morris Park,,0,25077,12112,12965,641.79
2020,NTA2020,Bronx,BX1103,,Pelham Gardens,,0,29402,13947,15455,690.07
2020,NTA2020,Bronx,BX1104,,Allerton,,0,34623,16156,18467,362.02
2020,NTA2020,Bronx,BX1161,,Hutchinson Metro Center,,6,297,166,131,277.92
2020,NTA2020,Bronx,BX1201,,Williamsbridge-Olinville,,0,61346,28124,33222,832.79
2020,NTA2020,Bronx,BX1202,,Eastchester-Edenwald-Baychester,,0,51736,23330,28406,1274.03
2020,NTA2020,Bronx,BX1203,,Wakefield-Woodlawn,,0,47657,21998,25659,900.48
2020,NTA2020,Bronx,BX1271,,Woodlawn Cemetery,,7,2,0,2,409.25
2020,NTA2020,Bronx,BX2691,,Van Cortlandt Park,,9,122,49,73,1151.66
2020,NTA2020,Bronx,BX2791,,Bronx Park,,9,69,33,36,758.02
2020,NTA2020,Bronx,BX2891,,Pelham Bay Park,,9,28,14,14,2244.1
2020,NTA2020,Manhattan,MN0101,,Financial District-Battery Park City,,0,52992,25266,27726,450.23
2020,NTA2020,Manhattan,MN0102,,Tribeca-Civic Center,,0,25390,12930,12460,311.35
2020,NTA2020,Manhattan,MN0191,,The Battery-Governors Island-Ellis Island-Liberty Island,,9,8,3,5,251.94
2020,NTA2020,Manhattan,MN0201,,SoHo-Little Italy-Hudson Square,,0,23287,11148,12139,296.92
2020,NTA2020,Manhattan,MN0202,,Greenwich Village,,0,34147,16279,17868,243.56
2020,NTA2020,Manhattan,MN0203,,West Village,,0,35011,17350,17661,330.62
2020,NTA2020,Manhattan,MN0301,,Chinatown-Two Bridges,,0,42556,19917,22639,265.23
2020,NTA2020,Manhattan,MN0302,,Lower East Side,,0,49149,23262,25887,377.2
2020,NTA2020,Manhattan,MN0303,,East Village,,0,71436,34201,37235,437.34
2020,NTA2020,Manhattan,MN0401,,Chelsea-Hudson Yards,,0,69741,35438,34303,681.12
2020,NTA2020,Manhattan,MN0402,,Hell's Kitchen,,0,59524,32172,27352,430.68
2020,NTA2020,Manhattan,MN0501,,Midtown South-Flatiron-Union Square,,0,33214,15516,17698,341.45
2020,NTA2020,Manhattan,MN0502,,Midtown-Times Square,,0,25575,12932,12643,563.63
2020,NTA2020,Manhattan,MN0601,,Stuyvesant Town-Peter Cooper Village,,0,22512,10067,12445,130.71
2020,NTA2020,Manhattan,MN0602,,Gramercy,,0,28628,13002,15626,171.95
2020,NTA2020,Manhattan,MN0603,,Murray Hill-Kips Bay,,0,63520,29537,33983,364.55
2020,NTA2020,Manhattan,MN0604,,East Midtown-Turtle Bay,,0,45765,21181,24584,301.73
2020,NTA2020,Manhattan,MN0661,,United Nations,,6,0,0,0,26.32
2020,NTA2020,Manhattan,MN0701,,Upper West Side-Lincoln Square,,0,70697,32089,38608,365.39
2020,NTA2020,Manhattan,MN0702,,Upper West Side (Central),,0,101767,47397,54370,584.46
2020,NTA2020,Manhattan,MN0703,,Upper West Side-Manhattan Valley,,0,51751,23664,28087,304.32
2020,NTA2020,Manhattan,MN0801,,Upper East Side-Lenox Hill-Roosevelt Island,,0,85527,37949,47578,496.08
2020,NTA2020,Manhattan,MN0802,,Upper East Side-Carnegie Hill,,0,62410,28141,34269,460.67
2020,NTA2020,Manhattan,MN0803,,Upper East Side-Yorkville,,0,84046,37001,47045,315.45
2020,NTA2020,Manhattan,MN0901,,Morningside Heights,,0,38865,17195,21670,367.72
2020,NTA2020,Manhattan,MN0902,,Manhattanville-West Harlem,,0,22183,10495,11688,245.49
2020,NTA2020,Manhattan,MN0903,,Hamilton Heights-Sugar Hill,,0,49410,23904,25506,368.2
2020,NTA2020,Manhattan,MN1001,,Harlem (South),,0,47113,22018,25095,331.39
2020,NTA2020,Manhattan,MN1002,,Harlem (North),,0,83327,37871,45456,546.89
2020,NTA2020,Manhattan,MN1101,,East Harlem (South),,0,59814,26604,33210,382.27
2020,NTA2020,Manhattan,MN1102,,East Harlem (North),,0,64655,29697,34958,600.65
2020,NTA2020,Manhattan,MN1191,,Randall's Island,,9,1302,1199,103,539.66
2020,NTA2020,Manhattan,MN1201,,Washington Heights (South),,0,72037,34098,37939,484.44
2020,NTA2020,Manhattan,MN1202,,Washington Heights (North),,0,71842,34123,37719,570.91
2020,NTA2020,Manhattan,MN1203,,Inwood,,0,36299,16952,19347,330.43
2020,NTA2020,Manhattan,MN1291,,Highbridge Park,,9,12,9,3,180.58
2020,NTA2020,Manhattan,MN1292,,Inwood Hill Park,,9,16,5,11,234.29
2020,NTA2020,Manhattan,MN6491,,Central Park,,9,129,112,17,739.38
2020,NTA2020,Queens,QN0101,,Astoria (North)-Ditmars-Steinway,,0,50225,24575,25650,1340.15
2020,NTA2020,Queens,QN0102,,Old Astoria-Hallets Point,,0,18927,9416,9511,254.65
2020,NTA2020,Queens,QN0103,,Astoria (Central),,0,52220,25462,26758,484.06
2020,NTA2020,Queens,QN0104,,Astoria (East)-Woodside (North),,0,38673,18898,19775,597.68
2020,NTA2020,Queens,QN0105,,Queensbridge-Ravenswood-Dutch Kills,,0,32954,15931,17023,636.15
2020,NTA2020,Bronx,QN0151,,Rikers Island,,5,3772,3560,212,414.45
2020,NTA2020,Queens,QN0161,,Sunnyside Yards (North),,6,27,14,13,100.63
2020,NTA2020,Queens,QN0171,,St. Michael's Cemetery,,7,5,3,2,100.88
2020,NTA2020,Queens,QN0191,,Astoria Park,,9,0,0,0,61.58
2020,NTA2020,Queens,QN0201,,Long Island City-Hunters Point,,0,32216,16440,15776,630.84
2020,NTA2020,Queens,QN0202,,Sunnyside,,0,52278,25979,26299,1094.64
2020,NTA2020,Queens,QN0203,,Woodside,,0,53188,26296,26892,753.16
2020,NTA2020,Queens,QN0261,,Sunnyside Yards (South),,6,36,19,17,205.56
2020,NTA2020,Queens,QN0271,,Calvary & Mount Zion Cemeteries,,7,0,0,0,331.27
2020,NTA2020,Queens,QN0301,,Jackson Heights,,0,101848,50853,50995,902.8
2020,NTA2020,Queens,QN0302,,East Elmhurst,,0,33573,16739,16834,660.29
2020,NTA2020,Queens,QN0303,,North Corona,,0,43434,23460,19974,320.49
2020,NTA2020,Queens,QN0401,,Elmhurst,,0,107864,53989,53875,966.98
2020,NTA2020,Queens,QN0402,,Corona,,0,73822,37652,36170,551.53
2020,NTA2020,Queens,QN0501,,Maspeth,,0,43257,21108,22149,1338.2
2020,NTA2020,Queens,QN0502,,Ridgewood,,0,66402,32991,33411,977.08
