Year,GeogType,FIPSCode,BoroCode,GeogName,GeoID,Pop1,Male ,Fem,LandAcres
2020,CB2020,005,2,Bronx,20025002000,1462,612,850,6.54
2020,CB2020,005,2,Bronx,20025003000,1064,549,515,5.78
2020,CB2020,005,2,Bronx,20025004000,964,460,504,5.37
2020,CB2020,005,2,Bronx,20025005000,356,174,182,1.54
2020,CB2020,005,2,Bronx,20025005001,124,61,63,1.54
2020,CB2020,005,2,Bronx,20025005002,401,200,201,5.37
2020,CB2020,005,2,Bronx,20027011000,42,19,23,2.37
2020,CB2020,005,2,Bronx,20027011001,1006,428,578,6.1
2020,CB2020,005,2,Bronx,20027011002,133,70,63,1
2020,CB2020,005,2,Bronx,20027012000,736,395,341,6.24
2020,CB2020,005,2,Bronx,20027012001,1163,485,678,4.46
2020,CB2020,005,2,Bronx,20027021000,0,0,0,4.56
2020,CB2020,005,2,Bronx,20027021001,1011,470,541,3.26
2020,CB2020,005,2,Bronx,20027021002,442,198,244,3.2
2020,CB2020,005,2,Bronx,20027021003,0,0,0,2.29
2020,CB2020,005,2,Bronx,20027022000,0,0,0,1.27
2020,CB2020,005,2,Bronx,20027022001,405,163,242,3.46
2020,CB2020,005,2,Bronx,20027022002,558,271,287,3.61
2020,CB2020,005,2,Bronx,20027023000,872,386,486,5.41
2020,CB2020,005,2,Bronx,20027023001,817,374,443,6.01
2020,CB2020,005,2,Bronx,20027024000,890,359,531,5.35
2020,CB2020,005,2,Bronx,20028001000,0,0,0,1.4
2020,CB2020,005,2,Bronx,20028001001,0,0,0,1.06
2020,CB2020,005,2,Bronx,20028001002,0,0,0,1.98
2020,CB2020,005,2,Bronx,20028001003,129,72,57,14.96
2020,CB2020,005,2,Bronx,20028001004,15,3,12,4.12
2020,CB2020,005,2,Bronx,20028001005,398,187,211,3.95
2020,CB2020,005,2,Bronx,20028001006,0,0,0,1.44
2020,CB2020,005,2,Bronx,20028001007,0,0,0,1.36
2020,CB2020,005,2,Bronx,20028001008,0,0,0,1.64
2020,CB2020,005,2,Bronx,20028001009,0,0,0,0.42
2020,CB2020,005,2,Bronx,20028001010,0,0,0,0.55
2020,CB2020,005,2,Bronx,20028001011,0,0,0,0.58
2020,CB2020,005,2,Bronx,20028001012,31,17,14,15.05
2020,CB2020,005,2,Bronx,20028001013,0,0,0,3.98
2020,CB2020,005,2,Bronx,20028001014,0,0,0,4.27
2020,CB2020,005,2,Bronx,20028001015,400,156,244,3.98
2020,CB2020,005,2,Bronx,20028001016,460,203,257,3.99
